UNNO;EMS
4;F-B, S-Y
5;F-B, S-X
6;F-B, S-X
7;F-B, S-X
9;F-B, S-X
10;F-B, S-X
12;F-B, S-X
14;F-B, S-X
15;F-B, S-X
16;F-B, S-X
18;F-B, S-Z
19;F-B, S-Z
20;F-B, S-Z
21;F-B, S-Z
27;F-B, S-Y
28;F-B, S-Y
29;F-B, S-X
30;F-B, S-X
33;F-B, S-X
34;F-B, S-X
35;F-B, S-X
37;F-B, S-X
38;F-B, S-X
39;F-B, S-X
42;F-B, S-X
43;F-B, S-X
44;F-B, S-X
48;F-B, S-X
49;F-B, S-X
50;F-B, S-X
54;F-B, S-X
55;F-B, S-X
56;F-B, S-X
59;F-B, S-X
60;F-B, S-X
65;F-B, S-X
66;F-B, S-X
70;F-B, S-X
72;F-B, S-Y
73;F-B, S-X
74;F-B, S-Y
75;F-B, S-Y
76;F-B, S-Z
77;F-B, S-Z
78;F-B, S-Y
79;F-B, S-Y
81;F-B, S-Y
82;F-B, S-Y
83;F-B, S-Y
84;F-B, S-Y
92;F-B, S-X
93;F-B, S-X
94;F-B, S-Y
99;F-B, S-X
101;F-B, S-X
102;F-B, S-X
103;F-B, S-X
104;F-B, S-X
105;F-B, S-X
106;F-B, S-X
107;F-B, S-X
110;F-B, S-X
113;F-B, S-Y
114;F-B, S-Y
118;F-B, S-Y
121;F-B, S-X
124;F-B, S-X
129;F-B, S-Y
130;F-B, S-Y
131;F-B, S-X
132;F-B, S-Y
133;F-B, S-Y
135;F-B, S-Y
136;F-B, S-X
137;F-B, S-X
138;F-B, S-X
143;F-B, S-Z
144;F-B, S-Y
146;F-B, S-Y
147;F-B, S-Y
150;F-B, S-Y
151;F-B, S-Y
153;F-B, S-Y
154;F-B, S-Y
155;F-B, S-Y
159;F-B, S-Y
160;F-B, S-Y
161;F-B, S-Y
167;F-B, S-X
168;F-B, S-X
169;F-B, S-X
171;F-B, S-X
173;F-B, S-X
174;F-B, S-X
180;F-B, S-X
181;F-B, S-X
182;F-B, S-X
183;F-B, S-X
186;F-B, S-X
190;F-B, S-X
191;F-B, S-X
192;F-B, S-X
193;F-B, S-X
194;F-B, S-X
195;F-B, S-X
196;F-B, S-X
197;F-B, S-X
204;F-B, S-X
207;F-B, S-Y
208;F-B, S-Y
209;F-B, S-Y
212;F-B, S-X
213;F-B, S-Y
214;F-B, S-Y
215;F-B, S-Y
216;F-B, S-Y
217;F-B, S-Y
218;F-B, S-Y
219;F-B, S-Y
220;F-B, S-Y
221;F-B, S-X
222;F-B, S-Y
224;F-B, S-Z
225;F-B, S-X
226;F-B, S-Y
234;F-B, S-Z
235;F-B, S-Y
236;F-B, S-Y
237;F-B, S-X
238;F-B, S-X
240;F-B, S-X
241;F-B, S-X
242;F-B, S-X
243;F-B, S-X
244;F-B, S-X
245;F-B, S-X
246;F-B, S-X
247;F-B, S-X
248;F-B, S-Y
249;F-B, S-Y
250;F-B, S-X
254;F-B, S-X
255;F-B, S-X
257;F-B, S-X
266;F-B, S-Y
267;F-B, S-X
268;F-B, S-X
271;F-B, S-X
272;F-B, S-X
275;F-B, S-X
276;F-B, S-X
277;F-B, S-X
278;F-B, S-X
279;F-B, S-X
280;F-B, S-X
281;F-B, S-X
282;F-B, S-Y
283;F-B, S-X
284;F-B, S-X
285;F-B, S-X
286;F-B, S-X
287;F-B, S-X
288;F-B, S-X
289;F-B, S-X
290;F-B, S-X
291;F-B, S-X
292;F-B, S-X
293;F-B, S-X
294;F-B, S-X
295;F-B, S-X
296;F-B, S-X
297;F-B, S-X
299;F-B, S-X
300;F-B, S-X
301;F-B, S-Z
303;F-B, S-X
305;F-B, S-Y
306;F-B, S-X
312;F-B, S-X
313;F-B, S-X
314;F-B, S-X
315;F-B, S-X
316;F-B, S-X
317;F-B, S-X
318;F-B, S-X
319;F-B, S-X
320;F-B, S-X
321;F-B, S-X
322;F-B, S-X
323;F-B, S-X
324;F-B, S-X
325;F-B, S-X
326;F-B, S-X
327;F-B, S-X
328;F-B, S-X
329;F-B, S-X
330;F-B, S-X
331;F-B, S-Y
332;F-B, S-Y
333;F-B, S-X
334;F-B, S-X
335;F-B, S-X
336;F-B, S-X
337;F-B, S-X
338;F-B, S-X
339;F-B, S-X
340;F-B, S-Y
341;F-B, S-Y
342;F-B, S-Y
343;F-B, S-Y
344;F-B, S-X
345;F-B, S-X
346;F-B, S-X
347;F-B, S-X
348;F-B, S-X
349;F-B, S-X
350;F-B, S-X
351;F-B, S-X
352;F-B, S-X
353;F-B, S-X
354;F-B, S-X
355;F-B, S-X
356;F-B, S-X
357;F-B, S-Y
358;F-B, S-Y
359;F-B, S-Y
360;F-B, S-X
361;F-B, S-X
362;F-B, S-X
363;F-B, S-X
364;F-B, S-X
365;F-B, S-X
366;F-B, S-X
367;F-B, S-X
368;F-B, S-X
369;F-B, S-X
370;F-B, S-X
371;F-B, S-X
372;F-B, S-X
373;F-B, S-X
374;F-B, S-X
375;F-B, S-X
376;F-B, S-X
377;F-B, S-X
378;F-B, S-X
379;F-B, S-X
380;F-B, S-X
381;F-B, S-X
382;F-B, S-X
383;F-B, S-X
384;F-B, S-X
385;F-B, S-Y
386;F-B, S-Y
387;F-B, S-Y
388;F-B, S-Y
389;F-B, S-Y
390;F-B, S-Y
391;F-B, S-Y
392;F-B, S-Y
393;F-B, S-Y
394;F-B, S-Y
395;F-B, S-X
396;F-B, S-X
397;F-B, S-X
398;F-B, S-X
399;F-B, S-X
400;F-B, S-X
401;F-B, S-Y
402;F-B, S-Y
403;F-B, S-X
404;F-B, S-X
405;F-B, S-X
406;F-B, S-Y
407;F-B, S-Y
408;F-B, S-X
409;F-B, S-X
410;F-B, S-X
411;F-B, S-Y
412;F-B, S-X
413;F-B, S-X
414;F-B, S-X
415;F-B, S-X
417;F-B, S-X
418;F-B, S-X
419;F-B, S-X
420;F-B, S-X
421;F-B, S-X
424;F-B, S-X
425;F-B, S-X
426;F-B, S-X
427;F-B, S-X
428;F-B, S-X
429;F-B, S-X
430;F-B, S-X
431;F-B, S-X
432;F-B, S-X
433;F-B, S-Y
434;F-B, S-X
435;F-B, S-X
436;F-B, S-X
437;F-B, S-X
438;F-B, S-X
439;F-B, S-X
440;F-B, S-X
441;F-B, S-X
442;F-B, S-X
443;F-B, S-X
444;F-B, S-X
445;F-B, S-X
446;F-B, S-X
447;F-B, S-X
448;F-B, S-Y
449;F-B, S-X
450;F-B, S-X
451;F-B, S-X
452;F-B, S-X
453;F-B, S-X
454;F-B, S-X
455;F-B, S-X
456;F-B, S-X
457;F-B, S-X
458;F-B, S-X
459;F-B, S-X
460;F-B, S-X
461;F-B, S-X
462;F-B, S-X
463;F-B, S-X
464;F-B, S-X
465;F-B, S-X
466;F-B, S-X
467;F-B, S-X
468;F-B, S-X
469;F-B, S-X
470;F-B, S-X
471;F-B, S-X
472;F-B, S-X
473;F-B, S-Y
474;F-B, S-Y
475;F-B, S-Y
476;F-B, S-Y
477;F-B, S-Y
478;F-B, S-Y
479;F-B, S-Y
480;F-B, S-Y
481;F-B, S-Y
482;F-B, S-Y
483;F-B, S-Y
484;F-B, S-Y
485;F-B, S-Y
486;F-B, S-X
487;F-B, S-X
488;F-B, S-X
489;F-B, S-Y
490;F-B, S-Y
491;F-B, S-X
492;F-B, S-X
493;F-B, S-X
494;F-B, S-X
495;F-B, S-Y
496;F-B, S-Y
497;F-B, S-Y
498;F-B, S-Y
499;F-B, S-Y
500;F-B, S-X
501;F-B, S-X
502;F-B, S-X
503;F-B, S-X
504;F-B, S-Y
1001;F-D, S-U
1002;F-C, S-V
1003;F-C, S-W
1005;F-C, S-U
1006;F-C, S-V
1008;F-C, S-U
1009;F-C, S-V
1010;F-D, S-U
1011;F-D, S-U
1012;F-D, S-U
1013;F-C, S-V
1016;F-D, S-U
1017;F-C, S-U
1018;F-C, S-V
1020;F-C, S-V
1021;F-C, S-V
1022;F-C, S-V
1023;F-D, S-U
1026;F-D, S-U
1027;F-D, S-U
1028;F-C, S-V
1029;F-C, S-V
1030;F-D, S-U
1032;F-D, S-U
1033;F-D, S-U
1035;F-D, S-U
1036;F-D, S-U
1037;F-D, S-U
1038;F-D, S-U
1039;F-D, S-U
1040;F-D, S-U
1041;F-D, S-U
1043;F-C, S-V
1044;F-C, S-V
1045;F-C, S-W
1046;F-C, S-V
1048;F-C, S-U
1049;F-D, S-U
1050;F-C, S-U
1051;F-E, S-D
1052;F-C, S-U
1053;F-D, S-U
1055;F-D, S-U
1056;F-C, S-V
1057;F-D, S-U
1058;F-C, S-V
1060;F-D, S-U
1061;F-D, S-U
1062;F-C, S-U
1063;F-D, S-U
1064;F-D, S-U
1065;F-C, S-V
1066;F-C, S-V
1067;F-C, S-W
1069;F-C, S-U
1070;F-C, S-W
1071;F-D, S-U
1072;F-C, S-W
1073;F-C, S-W
1075;F-D, S-U
1076;F-C, S-U
1077;F-D, S-U
1078;F-C, S-V
1079;F-C, S-U
1080;F-C, S-V
1081;F-D, S-U
1082;F-D, S-U
1083;F-D, S-U
1085;F-D, S-U
1086;F-D, S-U
1087;F-D, S-U
1088;F-E, S-D
1089;F-E, S-D
1090;F-E, S-D
1091;F-E, S-D
1092;F-E, S-D
1093;F-E, S-D
1098;F-E, S-D
1099;F-E, S-D
1100;F-E, S-D
1104;F-E, S-D
1105;F-E, S-D
1106;F-E, S-C
1107;F-E, S-D
1108;F-E, S-D
1109;F-E, S-D
1110;F-E, S-D
1111;F-E, S-D
1112;F-E, S-D
1113;F-E, S-D
1114;F-E, S-D
1120;F-E, S-D
1123;F-E, S-D
1125;F-E, S-C
1126;F-E, S-D
1127;F-E, S-D
1128;F-E, S-D
1129;F-E, S-D
1130;F-E, S-E
1131;F-E, S-D
1133;F-E, S-D
1134;F-E, S-D
1135;F-E, S-D
1136;F-E, S-E
1139;F-E, S-E
1143;F-E, S-D
1144;F-E, S-D
1145;F-E, S-D
1146;F-E, S-D
1147;F-E, S-D
1148;F-E, S-D
1149;F-E, S-D
1150;F-E, S-D
1152;F-E, S-D
1153;F-E, S-D
1154;F-E, S-C
1155;F-E, S-D
1156;F-E, S-D
1157;F-E, S-D
1158;F-E, S-C
1159;F-E, S-D
1160;F-E, S-C
1161;F-E, S-D
1162;F-E, S-C
1163;F-E, S-C
1164;F-E, S-D
1165;F-E, S-D
1166;F-E, S-D
1167;F-E, S-D
1169;F-E, S-D
1170;F-E, S-D
1171;F-E, S-D
1172;F-E, S-D
1173;F-E, S-D
1175;F-E, S-D
1176;F-E, S-D
1177;F-E, S-D
1178;F-E, S-D
1179;F-E, S-D
1180;F-E, S-D
1181;F-E, S-D
1182;F-E, S-C
1183;F-G, S-O
1184;F-E, S-D
1185;F-E, S-D
1188;F-E, S-D
1189;F-E, S-D
1190;F-E, S-D
1191;F-E, S-D
1192;F-E, S-D
1193;F-E, S-D
1194;F-E, S-D
1195;F-E, S-D
1196;F-E, S-C
1197;F-E, S-D
1198;F-E, S-C
1199;F-E, S-D
1201;F-E, S-D
1202;F-E, S-E
1203;F-E, S-E
1204;F-E, S-D
1206;F-E, S-D
1207;F-E, S-D
1208;F-E, S-D
1210;F-E, S-D
1212;F-E, S-D
1213;F-E, S-D
1214;F-E, S-C
1216;F-E, S-D
1218;F-E, S-D
1219;F-E, S-D
1220;F-E, S-D
1221;F-E, S-C
1222;F-E, S-D
1223;F-E, S-E
1224;F-E, S-D
1228;F-E, S-D
1229;F-E, S-D
1230;F-E, S-D
1231;F-E, S-D
1233;F-E, S-D
1234;F-E, S-D
1235;F-E, S-C
1237;F-E, S-D
1238;F-E, S-C
1239;F-E, S-D
1242;F-G, S-O
1243;F-E, S-D
1244;F-E, S-C
1245;F-E, S-D
1246;F-E, S-D
1247;F-E, S-D
1248;F-E, S-D
1249;F-E, S-D
1250;F-E, S-C
1251;F-E, S-C
1259;F-E, S-D
1261;F-E, S-D
1262;F-E, S-E
1263;F-E, S-E
1264;F-E, S-D
1265;F-E, S-D
1266;F-E, S-D
1267;F-E, S-E
1268;F-E, S-E
1272;F-E, S-E
1274;F-E, S-D
1275;F-E, S-D
1276;F-E, S-D
1277;F-E, S-C
1278;F-E, S-D
1279;F-E, S-D
1280;F-E, S-D
1281;F-E, S-D
1282;F-E, S-D
1286;F-E, S-E
1287;F-E, S-D
1288;F-E, S-E
1289;F-E, S-C
1292;F-E, S-D
1293;F-E, S-D
1294;F-E, S-D
1295;F-G, S-O
1296;F-E, S-C
1297;F-E, S-C
1298;F-E, S-C
1299;F-E, S-E
1300;F-E, S-E
1301;F-E, S-D
1302;F-E, S-D
1303;F-E, S-D
1304;F-E, S-D
1305;F-E, S-C
1306;F-E, S-D
1307;F-E, S-D
1308;F-E, S-D
1309;F-G, S-G
1310;F-B, S-J
1312;F-A, S-I
1313;F-A, S-I
1314;F-A, S-I
1318;F-A, S-I
1320;F-B, S-J
1321;F-B, S-J
1322;F-B, S-J
1323;F-G, S-G
1324;F-A, S-I
1325;F-A, S-G
1326;F-A, S-J
1327;F-A, S-I
1328;F-A, S-G
1330;F-A, S-I
1331;F-A, S-I
1332;F-A, S-G
1333;F-G, S-P
1334;F-A, S-G
1336;F-B, S-J
1337;F-B, S-J
1338;F-A, S-G
1339;F-G, S-G
1340;F-G, S-N
1341;F-A, S-G
1343;F-G, S-G
1344;F-B, S-J
1345;F-A, S-I
1346;F-A, S-G
1347;F-B, S-J
1348;F-B, S-J
1349;F-B, S-J
1350;F-A, S-G
1352;F-A, S-J
1353;F-A, S-I
1354;F-B, S-J
1355;F-B, S-J
1356;F-B, S-J
1357;F-B, S-J
1358;F-G, S-J
1360;F-G, S-N
1361;F-A, S-J
1362;F-A, S-J
1363;F-A, S-J
1364;F-A, S-J
1365;F-A, S-J
1366;F-G, S-M
1369;F-A, S-J
1370;F-G, S-M
1372;F-A, S-J
1373;F-A, S-J
1374;F-A, S-J
1376;F-G, S-P
1378;F-H, S-M
1379;F-A, S-J
1380;F-G, S-L
1381;F-A, S-J
1382;F-A, S-J
1383;F-G, S-M
1384;F-A, S-J
1385;F-A, S-J
1386;F-A, S-J
1387;F-A, S-J
1389;F-G, S-N
1390;F-G, S-O
1391;F-G, S-N
1392;F-G, S-N
1393;F-G, S-N
1394;F-G, S-N
1395;F-G, S-N
1396;F-G, S-O
1397;F-G, S-N
1398;F-G, S-N
1400;F-G, S-O
1401;F-G, S-O
1402;F-G, S-N
1403;F-G, S-N
1404;F-G, S-O
1405;F-G, S-N
1407;F-G, S-N
1408;F-G, S-N
1409;F-G, S-L
1410;F-G, S-M
1411;F-G, S-M
1413;F-G, S-O
1414;F-G, S-N
1415;F-G, S-N
1417;F-G, S-N
1418;F-G, S-O
1419;F-G, S-N
1420;F-G, S-L
1421;F-G, S-L
1422;F-G, S-L
1423;F-G, S-N
1426;F-G, S-O
1427;F-G, S-O
1428;F-G, S-N
1431;F-A, S-L
1432;F-G, S-N
1433;F-G, S-N
1435;F-G, S-O
1436;F-G, S-O
1437;F-A, S-G
1438;F-A, S-Q
1439;F-H, S-O
1442;F-H, S-O
1444;F-A, S-O
1445;F-H, S-O
1446;F-A, S-O
1447;F-H, S-O
1448;F-H, S-O
1449;F-G, S-Q
1450;F-H, S-Q
1451;F-A, S-Q
1452;F-H, S-Q
1453;F-H, S-Q
1454;F-A, S-Q
1455;F-H, S-Q
1456;F-H, S-Q
1457;F-G, S-Q
1458;F-H, S-Q
1459;F-H, S-Q
1461;F-H, S-Q
1462;F-H, S-Q
1463;F-A, S-Q
1465;F-A, S-Q
1466;F-A, S-Q
1467;F-A, S-Q
1469;F-A, S-Q
1470;F-H, S-Q
1471;F-H, S-Q
1472;F-G, S-Q
1473;F-H, S-Q
1474;F-A, S-Q
1475;F-H, S-Q
1476;F-G, S-Q
1477;F-A, S-Q
1479;F-A, S-Q
1481;F-H, S-Q
1482;F-H, S-Q
1483;F-G, S-Q
1484;F-H, S-Q
1485;F-H, S-Q
1486;F-A, S-Q
1487;F-A, S-Q
1488;F-A, S-Q
1489;F-H, S-Q
1490;F-H, S-Q
1491;F-G, S-Q
1492;F-A, S-Q
1493;F-A, S-Q
1494;F-H, S-Q
1495;F-H, S-Q
1496;F-H, S-Q
1498;F-A, S-Q
1499;F-A, S-Q
1500;F-A, S-Q
1502;F-H, S-Q
1503;F-H, S-Q
1504;F-G, S-Q
1505;F-A, S-Q
1506;F-H, S-Q
1507;F-A, S-Q
1508;F-H, S-Q
1509;F-G, S-Q
1510;F-H, S-Q
1511;F-A, S-Q
1512;F-A, S-Q
1513;F-H, S-Q
1514;F-H, S-Q
1515;F-H, S-Q
1516;F-G, S-Q
1517;F-B, S-J
1541;F-A, S-A
1544;F-A, S-A
1545;F-E, S-D
1546;F-A, S-A
1547;F-A, S-A
1548;F-A, S-A
1549;F-A, S-A
1550;F-A, S-A
1551;F-A, S-A
1553;F-A, S-A
1554;F-A, S-A
1555;F-A, S-A
1556;F-A, S-A
1557;F-A, S-A
1558;F-A, S-A
1559;F-A, S-A
1560;F-A, S-A
1561;F-A, S-A
1562;F-A, S-A
1564;F-A, S-A
1565;F-A, S-A
1566;F-A, S-A
1567;F-G, S-G
1569;F-E, S-D
1570;F-A, S-A
1571;F-B, S-J
1572;F-A, S-A
1573;F-A, S-A
1574;F-A, S-A
1575;F-A, S-A
1577;F-A, S-A
1578;F-A, S-A
1579;F-A, S-A
1580;F-A, S-A
1581;F-C, S-U
1582;F-C, S-U
1583;F-A, S-A
1585;F-A, S-A
1586;F-A, S-A
1587;F-A, S-A
1588;F-A, S-A
1589;F-C, S-U
1590;F-A, S-A
1591;F-A, S-A
1593;F-A, S-A
1594;F-A, S-A
1595;F-A, S-B
1596;F-A, S-A
1597;F-A, S-A
1598;F-A, S-A
1599;F-A, S-A
1600;F-A, S-A
1601;F-A, S-A
1602;F-A, S-A
1603;F-E, S-D
1604;F-E, S-C
1605;F-A, S-A
1606;F-A, S-A
1607;F-A, S-A
1608;F-A, S-A
1611;F-A, S-A
1612;F-C, S-U
1613;F-A, S-A
1614;F-A, S-U
1616;F-A, S-A
1617;F-A, S-A
1618;F-A, S-A
1620;F-A, S-A
1621;F-A, S-A
1622;F-A, S-A
1623;F-A, S-A
1624;F-A, S-A
1625;F-A, S-A
1626;F-A, S-A
1627;F-A, S-A
1629;F-A, S-A
1630;F-A, S-A
1631;F-A, S-A
1634;F-A, S-A
1636;F-A, S-A
1637;F-A, S-A
1638;F-A, S-A
1639;F-A, S-A
1640;F-A, S-A
1641;F-A, S-A
1642;F-A, S-A
1643;F-A, S-A
1644;F-A, S-A
1645;F-A, S-A
1646;F-A, S-A
1647;F-A, S-A
1648;F-E, S-D
1649;F-A, S-A
1649;F-E, S-D
1650;F-A, S-A
1651;F-A, S-A
1652;F-A, S-A
1653;F-A, S-A
1654;F-A, S-A
1655;F-A, S-A
1656;F-A, S-A
1657;F-A, S-A
1658;F-A, S-A
1659;F-A, S-A
1660;F-C, S-W
1661;F-A, S-A
1662;F-A, S-A
1663;F-A, S-A
1664;F-A, S-A
1665;F-A, S-A
1669;F-A, S-A
1670;F-A, S-A
1671;F-A, S-A
1672;F-A, S-A
1673;F-A, S-A
1674;F-A, S-A
1677;F-A, S-A
1678;F-A, S-A
1679;F-A, S-A
1680;F-A, S-A
1683;F-A, S-A
1684;F-A, S-A
1685;F-A, S-A
1686;F-A, S-A
1687;F-A, S-A
1688;F-A, S-A
1689;F-A, S-A
1690;F-A, S-A
1691;F-A, S-A
1692;F-A, S-A
1693;F-A, S-A
1694;F-A, S-A
1695;F-E, S-C
1697;F-A, S-A
1698;F-A, S-A
1699;F-A, S-A
1700;F-A, S-G
1701;F-A, S-A
1702;F-A, S-A
1704;F-A, S-A
1707;F-A, S-A
1708;F-A, S-A
1709;F-A, S-A
1710;F-A, S-A
1711;F-A, S-A
1712;F-A, S-A
1713;F-A, S-A
1714;F-G, S-N
1715;F-E, S-C
1716;F-A, S-B
1717;F-E, S-C
1718;F-A, S-B
1719;F-A, S-B
1722;F-E, S-C
1723;F-E, S-C
1724;F-E, S-C
1725;F-A, S-B
1726;F-A, S-B
1727;F-A, S-B
1728;F-A, S-B
1729;F-A, S-B
1730;F-A, S-B
1731;F-A, S-B
1732;F-A, S-B
1733;F-A, S-B
1736;F-A, S-B
1737;F-A, S-B
1738;F-A, S-B
1739;F-A, S-B
1740;F-A, S-B
1741;F-C, S-U
1742;F-A, S-B
1743;F-A, S-B
1744;F-A, S-B
1745;F-A, S-B
1746;F-A, S-B
1747;F-E, S-C
1748;F-H, S-Q
1749;F-C, S-W
1750;F-A, S-B
1751;F-A, S-B
1752;F-A, S-B
1753;F-A, S-B
1754;F-A, S-B
1755;F-A, S-B
1756;F-A, S-B
1757;F-A, S-B
1758;F-A, S-B
1759;F-A, S-B
1760;F-A, S-B
1761;F-A, S-B
1762;F-A, S-B
1763;F-A, S-B
1764;F-A, S-B
1765;F-A, S-B
1766;F-A, S-B
1767;F-E, S-C
1768;F-A, S-B
1769;F-A, S-B
1770;F-A, S-B
1771;F-A, S-B
1773;F-A, S-B
1774;F-A, S-B
1775;F-A, S-B
1776;F-A, S-B
1777;F-A, S-B
1778;F-A, S-B
1779;F-E, S-C
1780;F-A, S-B
1781;F-A, S-B
1782;F-A, S-B
1783;F-A, S-B
1784;F-A, S-B
1786;F-A, S-B
1787;F-A, S-B
1788;F-A, S-B
1789;F-A, S-B
1790;F-A, S-B
1791;F-A, S-B
1792;F-A, S-B
1793;F-A, S-B
1794;F-A, S-B
1798;F-A, S-B
1799;F-A, S-B
1800;F-A, S-B
1801;F-A, S-B
1802;F-H, S-Q
1803;F-A, S-B
1804;F-A, S-B
1805;F-A, S-B
1806;F-A, S-B
1807;F-A, S-B
1808;F-A, S-B
1809;F-A, S-B
1810;F-A, S-B
1811;F-A, S-B
1812;F-A, S-A
1813;F-A, S-B
1814;F-A, S-B
1815;F-E, S-C
1816;F-E, S-C
1817;F-A, S-B
1818;F-A, S-B
1819;F-A, S-B
1823;F-A, S-B
1824;F-A, S-B
1825;F-A, S-B
1827;F-A, S-B
1828;F-A, S-B
1829;F-A, S-B
1830;F-A, S-B
1831;F-A, S-B
1832;F-A, S-B
1833;F-A, S-B
1834;F-A, S-B
1835;F-A, S-B
1836;F-A, S-B
1837;F-A, S-B
1838;F-A, S-B
1839;F-A, S-B
1840;F-A, S-B
1841;F-A, S-B
1843;F-A, S-A
1845;F-C, S-V
1846;F-A, S-A
1847;F-A, S-B
1848;F-A, S-B
1849;F-A, S-B
1851;F-A, S-A
1854;F-G, S-M
1855;F-G, S-M
1856;F-A, S-J
1857;F-A, S-J
1858;F-C, S-V
1859;F-C, S-U
1860;F-D, S-U
1862;F-E, S-D
1863;F-E, S-E
1865;F-E, S-D
1866;F-E, S-E
1868;F-A, S-G
1869;F-G, S-G
1870;F-G, S-O
1871;F-A, S-G
1872;F-A, S-Q
1873;F-A, S-Q
1884;F-A, S-A
1885;F-A, S-A
1886;F-A, S-A
1887;F-A, S-A
1888;F-A, S-A
1889;F-A, S-B
1891;F-A, S-A
1892;F-A, S-A
1894;F-A, S-A
1895;F-A, S-A
1897;F-A, S-A
1898;F-A, S-B
1902;F-A, S-B
1903;F-A, S-B
1905;F-A, S-B
1906;F-A, S-B
1907;F-A, S-B
1908;F-A, S-B
1911;F-D, S-U
1912;F-D, S-U
1913;F-C, S-V
1914;F-E, S-D
1915;F-E, S-D
1916;F-E, S-D
1917;F-E, S-D
1918;F-E, S-E
1919;F-E, S-D
1920;F-E, S-E
1921;F-E, S-D
1922;F-E, S-C
1923;F-A, S-J
1928;F-G, S-L
1929;F-A, S-J
1931;F-A, S-J
1932;F-G, S-L
1935;F-A, S-A
1938;F-A, S-B
1939;F-A, S-B
1940;F-A, S-B
1941;F-A, S-A
1942;F-H, S-Q
1944;F-A, S-I
1945;F-A, S-I
1950;F-D, S-U
1951;F-C, S-V
1952;F-C, S-V
1953;F-D, S-U
1954;F-D, S-U
1955;F-C, S-U
1956;F-C, S-V
1957;F-D, S-U
1958;F-C, S-V
1959;F-D, S-U
1961;F-D, S-U
1962;F-D, S-U
1963;F-C, S-V
1964;F-D, S-U
1965;F-D, S-U
1966;F-D, S-U
1967;F-C, S-U
1968;F-C, S-V
1969;F-D, S-U
1970;F-C, S-V
1971;F-D, S-U
1972;F-D, S-U
1973;F-C, S-V
1974;F-C, S-V
1975;F-C, S-W
1976;F-C, S-V
1977;F-C, S-V
1978;F-D, S-U
1982;F-C, S-V
1983;F-C, S-V
1984;F-C, S-V
1986;F-E, S-D
1987;F-E, S-D
1988;F-E, S-D
1989;F-E, S-D
1990;F-A, S-A
1991;F-E, S-D
1992;F-E, S-D
1993;F-E, S-E
1994;F-E, S-D
1999;F-E, S-E
2000;F-A, S-I
2001;F-A, S-I
2002;F-A, S-J
2004;F-G, S-M
2005;F-G, S-M
2006;F-A, S-G
2008;F-G, S-M
2009;F-G, S-M
2010;F-G, S-O
2011;F-G, S-N
2012;F-G, S-N
2013;F-G, S-N
2014;F-H, S-Q
2015;F-H, S-Q
2016;F-A, S-A
2017;F-A, S-B
2018;F-A, S-A
2019;F-A, S-A
2020;F-A, S-A
